year,month,day,Book,number,place,point/region,locate_as,recipient (s),clerical/secular,individual/several individuals/group,Location of pope,locate_as_pope,number of words,gender (m/f),Encouragement/ Inform/ Request/ Instruction / Warning (E/Inf/R/Ins/W),Revisit,notes,lat,lon,geo,pope_lat,pope_lon
1073,September,27,1,25,Milan,p,,knight,s,i,Capua,Sant%27Angelo_in_Formis,325,m,"inf, e",,,[45.46694444],[9.19],map,41.885,12.49666667
1073,October,9,1,26,Milan ,p,,knight,s,i,Capua,Sant%27Angelo_in_Formis,384,m,"inf, e",,,[45.46694444],[9.19],map,41.885,12.49666667
1073,October,13,1,27,Acqui,p,Acqui Terme,cleric,c,i,Capua,Sant%27Angelo_in_Formis,349,m,"e, r",,,[44.68333333],[8.46666667],map,41.885,12.49666667
1073,October,13,1,28,Pavia,p,,bishop,c,i,Capua,Sant%27Angelo_in_Formis,267,m,"e, r",,,[45.18333333],[9.15],map,41.885,12.49666667
1073,October,14,1,29,Sardinia,r,Cagliari,judges,s,si,Capua,Sant%27Angelo_in_Formis,386,m,ins,,Located as Cagliari. Refers generally to judges of Sardinia. ,[39.22777778],[9.11111111],map,41.885,12.49666667
1073,November,15,1,30,Salzburg,p,,archbishop,c,i,Capua,Sant%27Angelo_in_Formis,338,m,w,,,[47.8],[13.03333333],map,41.885,12.49666667
1073,November,20,1,31,Canterbury,p,,archbishop,c,i,San Germano,Cassino,410,m,r,,,[51.28],[1.08],map,41.5,13.83333333
1073,November,27,1,32,Chartres,p,,bishop,c,i,Argentea,Ferrara,302,m,ins,,"Identified as Traetto in edition, modern Minturno",[48.456],[1.484],map,44.83333333,11.61666667
1073,November,28,1,33,Tortona,p,,abbot,c,si,Argentea,Ferrara,419,m,ins,,,[44.89416667],[8.86555556],map,44.83333333,11.61666667
1073,December,2,1,34,Lincoln,p,Lincoln Cathedral,bishop,c,i,Terracina,,293,m,"ins, e",,,[53.23444444],[-0.53611111],map,41.4667,12.9
1073,December,4,1,35,Chalon-sur-Saône,p,,bishop,c,i,Piperno,Priverno,556,m,w,,City changed name in 1927,[46.7806],[4.8528],map,41.4667,12.9
1073,December,4,1,36,Lyon,p,,bishop,c,i,Piperno,Priverno,319,m,r,,City changed name in 1927,[45.76],[4.84],map,41.4667,12.9
1073,December,7,1,37,Turin,p,,countess,s,i,Sezze,,388,f,ins,,,[45.07916667],[7.67611111],map,41.4667,12.9
1073,December,17,1,38,Bohemia,r,Prague,duke,s,i,Rome,,432,m,"e, inf",,Taken to be in Prague.,[50.08333333],[14.41666667],map,41.88333333,12.5
1073,December,20,1,39,Saxony,r,Magdeburg,princes,s,si,Rome,,572,m,"r, inf",,Taken to be in Magdeburg.,[52.13333333],[11.61666667],map,41.88333333,12.5
1074,January,3,1,40,Tuscany,r,Canossa Castle,countess,s,i,Rome,,254,f,"e, r",,Taken to be in Canossa. ,[44.576],[10.456],map,41.88333333,12.5
1074,January,16,1,41,Cagliari,p,,judge,s,si,Rome,,192,m,"e, ins",,,[39.22777778],[9.11111111],map,41.88333333,12.5
1074,January,24,1,42,Aquileia,p,Aquileia Basilica,archbishop,c,i,Rome,,469,m,ins,,Located as basillica for mapping purposes. ,[45.769725],[13.37119167],map,41.88333333,12.5
1074,January,25,1,43,Lombardy,r,Milan,"bishop, abbot",c,si,Rome,,348,m,ins,,Located as Milan for mapping purposes.,[45.46694444],[9.19],map,41.88333333,12.5
1074,January,31,1,44,Prague,p,,bishop,c,i,Rome,,397,m,ins,,,[50.08333333],[14.41666667],map,41.88333333,12.5
1074,January,31,1,45,Bohemia,r,Prague,duke,s,i,Rome,,320,m,r,,Taken to be in Prague.,[50.08333333],[14.41666667],map,41.88333333,12.5
1074,February,2,1,46,Burgundy,r,Lyons,duke,s,i,Rome,,204,m,"r, e",,"Specifically marked dictation of Pope, taken to be in Lyon",[45.76],[4.84],map,41.88333333,12.5
1074,February,16,1,47,Tuscany,r,Canossa Castle,countess,s,i,Rome,,1016,f,e,,Taken to be in Canossa. ,[44.576],[10.456],map,41.88333333,12.5
1074,February,26,1,48,Genoa,p,,"bishop, people","c, s",g,Rome,,347,"m, f",w,,,[44.41111111],[8.93277778],map,41.88333333,12.5
1074,March,1,1,49,n/a,n/a,,people,"c, s",g,Rome,,365,"m, f",r,,n/a is due to fact entry is a 'general summons to the defence of the Byzantine Empire'.,,,NO MAP,41.88333333,12.5
1074,March,4,1,50,Tuscany,r,Canossa Castle,countess,s,si,Rome,,542,f,"e, r",,Taken to be in Canossa.,[44.576],[10.456],map,41.88333333,12.5
1074,March,14,1,51,Saint-Sever,p,Saint-Sever Abbey,abbot,c,i,Rome,,284,m,w,,Located as Saint-Sever Abbey for mapping. ,[43.7597],[-0.5742],map,41.88333333,12.5
1074,March,14,1,52,Reims,p,,archbishop,c,i,Rome,,344,m,ins,,,[49.2628],[4.0347],map,41.88333333,12.5
1074,March,14,1,53,Metz,p,,bishop,c,i,Rome,,402,m,"e, r, inf",,,[49.12027778],[6.17777778],map,41.88333333,12.5
1074,March,16,1,54,Poitiers,p,,canon,c,si,Rome,,331,m,"ins, inf",,,[46.58],[0.34],map,41.88333333,12.5
1074,March,16,1,55,Tarbes,p,,"bishop, suffragan",c,si,Rome,,174,m,w,,,[43.23],[0.07],map,41.88333333,12.5
1074,March,17,1,56,Châlons-en-Champagne,p,,bishop,c,i,Rome,,214,m,w,,,[48.9575],[4.365],map,41.88333333,12.5
1074,March,17,1,57,Pavia,p,,bishop,c,i,Rome,,208,m,"inf, ins",,,[45.18333333],[9.15],map,41.88333333,12.5
1074,March,17,1,58,Hungary,r,Székesfehérvár,duke,s,i,Rome,,395,m,e,,Taken to be in Székesfehérvár.,[47.19555556],[18.40888889],map,41.88333333,12.5
1074,March,17,1,59,Bohemia,r,Prague,noble,s,si,Rome,,221,m,w,,Taken to be in Prague.,[50.08333333],[14.41666667],map,41.88333333,12.5
1074,March,18,1,60,Mainz,p,,archbishop,c,i,Rome,,619,m,w,,,[50],[8.26666667],map,41.88333333,12.5
1074,March,18,1,61,Bohemia,r,Prague,duke,s,i,Rome,,320,m,"e, inf",,Taken to be in Prague.,[50.08333333],[14.41666667],map,41.88333333,12.5
1074,March,19,1,62,Cluny,p,,abbot,c,i,Rome,,441,m,ins,,,[46.43416667],[4.65916667],map,41.88333333,12.5
1074,March,20,1,63,Aragon,r,Zaragoza,king,s,i,Rome,,392,m,"e, inf",,"Taken to be in Zaragoza,",[41.65],[-0.88333333],map,41.88333333,12.5
1074,March,19,1,64,"León-Castile, Navarre",r,"León Spain, Navarre","king, bishop",s,si,Rome,,476,m,"r, inf",,King located in León for mapping. ,"[42.60555556, 42.81666667]","[-5.57, -1.65]",map,41.88333333,12.5
1074,March,20,1,65,Ragusa,p,Ragusa Cathedral,people,s,g,Rome,,287,"m, f",w,,,[36.9257],[14.7287],map,41.88333333,12.5
1074,March,20,1,66,Antrodoco,p,,"monk, laity","c, s",g,Rome,,191,"m, f",w,,,[42.41666667],[13.08333333],map,41.88333333,12.5
1074,March,21,1,67,Sisteron,p,,bishop,c,i,Rome,,155,m,w,,,[44.1911],[5.9472],map,41.88333333,12.5
1074,March,22,1,68,Nîmes,p,,bishop,c,i,Rome,,306,m,w,,,[43.838],[4.361],map,41.88333333,12.5
1074,March,23,1,69,Die,p,Die Cathedral,count,s,i,Rome,,586,m,"inf, w",,Located at cathedral for mapping.,[44.75222222],[5.37111111],map,41.88333333,12.5
1074,April,4,1,70,England,r,London,king,s,i,Rome,,801,m,"e, inf",,Taken to be in London.,[51.50722222],[-0.1275],map,41.88333333,12.5
1074,April,4,1,71,England,r,London,queen,s,i,Rome,,190,f,e,,Taken to be in London.,[51.50722222],[-0.1275],map,41.88333333,12.5
1074,April,7,1,72,Lorraine,r,Bouillon,duke,s,i,Rome,,283,m,w,,Taken to be in Bouillon,[49.7955],[5.068],map,41.88333333,12.5
1074,April,12,1,73,Poitiers,p,,bishop,c,i,Rome,,303,m,ins,,,[46.58],[0.34],map,41.88333333,12.5
1074,April,13,1,74,Beauvais,p,,people,"c, s",g,Rome,,283,"m, f","e, ins",,,[49.4303],[2.0952],map,41.88333333,12.5
1074,April,13,1,75,France,r,Paris,king,s,i,Rome,,534,m,"r, e",,King taken to be in Paris,[48.856613],[2.352222],map,41.88333333,12.5
1074,April,15,1,76,Lyon,p,,"archbishop, bishop",c,si,Rome,,297,m,"inf, r",,,[45.76],[4.84],map,41.88333333,12.5
1074,April,15,1,77,Tuscany,r,Canossa Castle,countess,s,si,Rome,,768,f,"w, inf",,Taken to be in Canossa. ,[44.576],[10.456],map,41.88333333,12.5
1074,April,16,1,78,Bohemia,r,Prague,bishop,c,i,Rome,,552,m,"inf, r",,Taken to be in Prague.,[50.08333333],[14.41666667],map,41.88333333,12.5
1074,April,18,1,79,Cologne,p,,archbishop,c,i,Rome,,334,m,w,,,[50.93638889],[6.95277778],map,41.88333333,12.5
1074,April,13,1,80,Le Puy-en-Velay,p,,people,"c, s",g,Rome,,223,"m, f","inf, ins",,Located as to assist mapping. ,[45.0442],[3.8858],map,41.88333333,12.5
1074,May,6,1,81,Trier,p,,archbishop,c,i,Rome,,510,m,"ins, e",,,[49.75],[6.63333333],map,41.88333333,12.5
1074,May,6,1,82,n/a,n/a,,people,"c, s",g,Rome,,585,"m, f","ins, w",,,,,NO MAP,41.88333333,12.5
1074,May,9,1,83,León-Castille,r,León Spain,king,s,i,Rome,,352,m,"inf, r, e",,Taken to be in Leon. ,[42.60555556],[-5.57],map,41.88333333,12.5
1074,June,12,1,84,Bamberg,p,,bishop,c,i,Near Monte Cimino,Monte Cimino,345,m,"ins, inf",,,[49.9],[10.9],map,42.419444,12.234167
1074,June,15,1,85,Rome,p,,empress-mother,s,i,Fiano,Turin,824,f,"e, inf",,,[41.88333333],[12.5],map,45.07916667,7.67611111
1074,August,28,2,1,Brittany ,r,Rennes,"bishop, abbot",c,g,Laurentum,Ostia,351,m,ins,,Taken to be in Rennes.,[48.1147],[-1.6794],map,41.75583333,12.29166667
1074,September,10,2,2,Poitiers,p,,bishop,c,i,Tivoli,Tivoli Rome,375,m,w,,,[46.58],[0.34],map,41.95972222,12.79805556
1074,September,10,2,3,Poitou,r,Poitiers,count,s,i,Tivoli,Tivoli Rome,535,m,"e, inf",,Taken to be in Poiters. ,[46.58],[0.34],map,41.95972222,12.79805556
1074,September ,10,2,4,Bordeaux,p,,archbishop,c,i,Tivoli,Tivoli Rome,493,m,"inf, ins",,,[44.84],[-0.58],map,41.95972222,12.79805556
1074,September,10,2,5,France,r,Paris,"archbishop, bishop",c,g,Tivoli,Tivoli Rome,1703,m,"w, inf",,Located as Paris. Refers generally to France,[48.856613],[2.352222],map,41.95972222,12.79805556
1074,September ,22,2,6,Prague,p,,bishop,c,i,Rome,,662,m,w,,,[50.08333333],[14.41666667],map,41.88333333,12.5
1074,September,22,2,7,Bohemia,r,Prague,duke,s,i,Rome,,513,m,"e, ins",,Taken to be in Prague. ,[50.08333333],[14.41666667],map,41.88333333,12.5
1074,September,22,2,8,Olmütz,p,Olomouc ,bishop,c,i,Rome,,379,m,"e, ins",,Locate as used to assist mapping. ,[49.59388889],[17.25083333],map,41.88333333,12.5
1074,October,16,2,9,Tuscany,p,Canossa Castle,countess,s,si,Rome,,731,f,"e, inf, r",,Taken to be in Canossa. ,[44.576],[10.456],map,41.88333333,12.5
1074,October,16,2,10,Trier,p,,archbishop,c,i,Rome,,787,m,"inf, ins",,,[49.75],[6.63333333],map,41.88333333,12.5
1074,October,26,2,11,Calw,p,,"count, countess",s,si,Rome,,281,"m, f","e, ins",,,[48.71666667],[8.73333333],map,41.88333333,12.5
1074,October,26,2,12,Halberstadt,p,,bishop,c,i,Rome,,331,m,e,,,[51.89583333],[11.04666667],map,41.88333333,12.5
1074,October,28,2,13,Hungary,r,Székesfehérvár,king,s,i,Rome,,389,m,w,,Taken to be in Székesfehérvár.,[47.19555556],[18.40888889],map,41.88333333,12.5
1074,October,29,2,14,"Strassburg, Basle",p,"Strasbourg, Basel",bishop,c,si,Rome,,430,m,ins,,Locate as names altered to assist mapping.,"[48.58333333, 47.55472222]","[7.74583333, 7.59055556]",map,41.88333333,12.5
1074,November,11,2,15,"Lyons, Autun, Mâcon ",p,"Lyon, Autun, Mâcon ","archbishop, bishop",c,si,Rome,,361,m,ins,,As above.,"[45.76, 46.9517, 46.3063]","[4.84, 4.2994, 4.8313]",map,41.88333333,12.5
1074,November,11,2,16,Sens,p,,archbishop,c,i,Rome,,361,m,ins,,States this letter writes in identical terms to above so word count and mood are the same.,[48.1975],[3.2877],map,41.88333333,12.5
1074,November,13,2,17,Perugia ,p,Perugia Cathedral,abbot,c,i,Rome,,285,m,w,,Located as cathedral for mapping. ,[43.112685],[12.389209],map,41.88333333,12.5
1074,November,13,2,18,Poitou,r,Poitiers,count,s,i,Rome,,469,m,"r, inf",,Taken to be in Poiters. ,[46.58],[0.34],map,41.88333333,12.5
1074,November,15,2,19,Bourges,p,,archbishop,c,i,Rome,,144,m,ins,,,[47.0844],[2.3964],map,41.88333333,12.5
1074,November,15,2,20,Sens,p,,archbishop,c,i,Rome,,193,m,ins,,,[48.1975],[3.2877],map,41.88333333,12.5
1074,November,15,2,21,Beaulieu,p,Périgueux,abbot,c,i,Rome,,161,m,w,,Located as Perigueux for mapping purposes. ,[45.1929],[0.7217],map,41.88333333,12.5
1074,November,15,2,22,Sainte-Maure,p,Chinon,knight,s,i,Rome,,153,m,w,,Located as Chinon for mapping purposes.,[47.1678],[0.2436],map,41.88333333,12.5
1074,November,16,2,23,Poitiers,p,,bishop,c,i,Rome,,194,m,w,,,[46.58],[0.34],map,41.88333333,12.5
1074,November,16,2,24,"Bordeaux, Aquitane","p, r","Bordeaux, Poitiers","archbishop, duke","c, s",si,Rome,,157,m,"inf, ins",,Aquitaine  located as Poitiers for mapping. ,"[44.84, 46.58]","[-0.58, 0.34]",map,41.88333333,12.5
1074,November,18,2,25,Cologne,p,,archbishop,c,i,Rome,,297,m,r,,,[50.93638889],[6.95277778],map,41.88333333,12.5
1074,November,27,2,26,Piacenza,p,,bishop,c,i,Rome,,440,m,r,,,[45.04777778],[9.70055556],map,41.88333333,12.5
1074,November,27,2,27,Piacenza,p,,monk,c,g,Rome,,196,m,ins,,,[45.04777778],[9.70055556],map,41.88333333,12.5
1074,December,12,2,28,Bremen,p,,archbishop,c,i,Rome,,383,m,w,,,[53.08333333],[8.8],map,41.88333333,12.5
1074,December,4,2,29,Mainz,p,,archbishop,c,i,Rome,,347,m,ins,,,[50],[8.26666667],map,41.88333333,12.5
1074,December,7,2,30,Holy Roman Empire,r,Aachen,king,s,i,Rome,,678,m,"e, r, inf",,Taken to be in Aachen for this and below.,[50.77555556],[6.08361111],map,41.88333333,12.5
1074,December,7,2,31,Holy Roman Empire,r,Aachen,king,s,i,Rome,,1089,m,"e, r, inf",,Specifically marked dictation of pope,[50.77555556],[6.08361111],map,41.88333333,12.5
1074,December,8,2,32,Rheims,p,Reims,archbishop,c,i,Rome,,319,m,"ins, inf",,Name altered to assist mapping. ,[49.2628],[4.0347],map,41.88333333,12.5
1074,December,12,2,33,Turin,p,,bishop,c,i,Rome,,216,m,w,,,[45.07916667],[7.67611111],map,41.88333333,12.5
1074,December,13,2,34,n/a,n/a,,noble,s,i,Rome,,333,m,"e, ins",,Have called noble. Title in text is 'distinguished man'.,,,NO MAP,41.88333333,12.5
1074,December,16,2,35,Pavia,p,,bishop,c,i,Rome,,283,m,w,,,[45.18333333],[9.15],map,41.88333333,12.5
1074,December,16,2,36,Este,p,Villa_Contarini_(Este),marquise ,s,i,Rome,,222,f,w,,,[45.2306],[11.6567],map,41.88333333,12.5
1074,December,16,2,37,Latin Christendom,r,n/a,people,"s, c",g,Rome,,328,m,r,,Specifically marked dictation of pope. Refers to all faithful of St Peter.,,,map,41.88333333,12.5
1074,December,22,2,38,Fermo,p,Fermo Cathedral,"count, people",s,g,Rome,,330,"m, f",ins,,Located as cathedral for mapping purposes. ,[43.1611],[13.7164],map,41.88333333,12.5
1074,December,31,2,39,Venice,p,,"doge, people",s,g,Rome,,671,"m, f",w,,,[45.4375],[12.33583333],map,41.88333333,12.5
1075,January,2,2,40,"San Bonifazio, San Saba",r,Rome,legate,c,si,Rome,,296,m,e,,Letter sent to Rome as used for authority by legates. Located as Rome as both are Roman monasteries.,[41.88333333],[12.5],map,41.88333333,12.5
1075,January,2,2,41,"Montefeltre, Gubbio",p,"Talamello, Gubbio",people,"s, c",g,Rome,,342,"m, f","ins, inf",,,"[43.9, 43.35]","[12.28333333, 12.566667]",map,41.88333333,12.5
1075,January ,4,2,42,Ravenna,p,Ravenna Cathedral,archbishop,c,i,Rome,,208,m,r,,Located as Ravenna Cathedral for mapping purposes. ,[44.4156],[12.1966],map,41.88333333,12.5
1075,January,5,2,43,Die,p,Die Cathedral,bishop,c,i,Rome,,176,m,ins,,Specifically marked dictation of pope.,[44.75222222],[5.37111111],map,41.88333333,12.5
1075,January,10,2,44,Hungary,r,Székesfehérvár,queen,s,i,Rome,,732,f,"e, r",,Taken to be in Székesfehérvár. Marked as letter of 'pastoral solace'.,[47.19555556],[18.40888889],map,41.88333333,12.5
1075,January,11,2,45,"Swabia, Carinthia",,"Konstanz, Klagenfurt",duke,s,si,Rome,,828,m,"ins, inf",,"Located as Konstanz, Klagenfurt for mapping purposes.","[47.66666667, 46.61666667]","[9.18333333, 14.3]",map,41.88333333,12.5
1075,January ,13,2,46,"Montefeltre, Gubbio",r,"Talamello, Gubbio",legate,c,si,Rome,,250,m,ins,,"Located the same as 2.41 ,as in this letter it states these legates are being sent here. If travel A-B-C Rome, Gubbio, Montefeltre the journey is about 280k which is feasible in the 11 day span.","[43.9, 43.35]","[12.28333333, 12.566667]",map,41.88333333,12.5
1075,January,13,2,47,Chiusi,p,,"noble, people",s,g,Rome,,448,"m, f",w,,,[43.01666667],[11.95],map,41.88333333,12.5
1075,January,16,2,48,Italy,r,Pesaro,legate,c,si,Rome,,221,m,ins,,Decision taken to mark as Pesaro. Due to fact that Pesaro is around 89km from Gubbio and 67k from Montefeltre which is feasible in 3 day span and is where the legates were sent in 2.46,[43.91666667],[12.9],map,41.88333333,12.5
1075,January,22,2,49,Cluny,p,,abbot,c,i ,Rome,,741,m,"e, inf",,Legates now being sent to warn Count Rainerius II of Spoleto-Camerino (identified from 2.47). Spoleto is around 167km from Pesaro according to google maps.,[46.43416667],[4.65916667],map,41.88333333,12.5
1075,January,24,2,50,Aragon ,r,Zaragoza,king,s,i,Rome,,673,m,"e, inf, ins",,Taken to be in Zaragoza.,[41.65],[-0.88333333],map,41.88333333,12.5
1075,January,25,2,51,Denmark,r,Copenhagen,king,s,i,Rome,,781,m,"e, r, inf",,Taken to be in Copenhagen.,[55.67611111],[12.56833333],map,41.88333333,12.5
1075,February,28,2,52,Orléans,p,,clerk,s,i,Rome,,552,m,w,,,[47.9025],[1.909],map,41.88333333,12.5
1075,March,2,2,53,n/a,n/a,,people,"c, s",g,Rome,,540,"m, f","inf, ins",,Recorded for the record so no location put.,,,NO MAP,41.88333333,12.5
1075,March,3,2,54,Piacenza,p,,people,"c, s",g,Rome,,491,"m ,f ","inf, e",,,[45.04777778],[9.70055556],map,41.88333333,12.5
1075,March,3,2,55,Lodi,p,Lodi Italy,clergy,c,g,Rome,,378,m,"ins, e",,Adressed to all the faithful. Have recorded as male as explicitly says 'sons' of the church. Have recorded as clergy as states 'our brother and fellow-bishop' ,[45.31666667],[9.5],map,41.88333333,12.5
1075,March,n/a,2,55a,n/a,n/a,,n/a,n/a,n/a,n/a,,433,n /a,"ins, inf",,Included as marked specifically dictation of pope. Also is '27 preposistions' about papal authority. ,,,NO MAP,41.88333333,12.5
1075,March,4,2,56,Rheims,p,Reims,archbishop,c,i,Rome,,381,m,w,,,[49.2628],[4.0347],map,41.88333333,12.5
1075,March,5,2,57,Fiesole,p,,"clergy, people","c, s",g,Rome,,315,"m, f",w,,,[43.80722222],[11.29194444],map,41.88333333,12.5
1075,March,5,2,58,Rheims,p,Reims,archbishop,c,i,Rome,,310,m,ins,,,[49.2628],[4.0347],map,41.88333333,12.5
1075,March,9,2,59,Abbey of Romans,p,Vienne,monk,c,g,Rome,,466,m,"e, ins",,Located as Vienne as Abbey of Romans in footnote said to be there. Note Vienne is the Vienne in the Isère region of France.,[46.5],[0.5],map,41.88333333,12.5
1075,March,13,2,60,Konstanz,p,,bishop,c,i,Rome,,288,m,w,,,[47.66666667],[9.18333333],map,41.88333333,12.5
1075,March,23,2,61,Liège,p,,bishop,c,i,Rome,,500,m,w,,,[50.63333333],[5.56666667],map,41.88333333,12.5
1075,March,23,2,62,Aquileia,p,,patriarch,c,i,Rome,,265,m,ins,,Note Aquileia refers to the ancient city in the province of Udine. Have located as Basillica for mapping purposes.,[45.769725],[13.37119167],map,41.88333333,12.5
1075,March,23,2,63,Hungary,r,Székesfehérvár,duke,s,i,Rome,,283,m,"e, r",,Worth noting Gesa is a king at this point. ,[47.19555556],[18.40888889],map,41.88333333,12.5
1075,March,25,2,64,Saint-Denis ,p,Saint-Denis France,abbot,c,i,Rome,,212,m,ins,,,[48.9356],[2.3539],map,41.88333333,12.5
1075,March,25,2,65,Saint-Denis ,p,Saint-Denis France,monk,c,g,Rome,,326,m,"inf, ins",,,[48.9356],[2.3539],map,41.88333333,12.5
1075,March,29,2,66,Halberstadt,p,,bishop,c,i,Rome,,606,m,ins,,,[51.89583333],[11.04666667],map,41.88333333,12.5
1075,March,29,2,67,Cologne,p,Cologne Cathedral,archbishop,c,i,Rome,,710,m,"e, ins",,Note this is the Cologne in Germany. Have located as Cathedral for mapping,[50.94129],[6.95817],map,41.88333333,12.5
1075,March,29,2,68,Magdeburg,p,,archbishop,c,i,Rome,,393,m,ins,,,[52.13333333],[11.61666667],map,41.88333333,12.5
1075,April,9,2,69,Turin ,p,,bishop,c,i,Rome,,1066,m,w,,,[45.07916667],[7.67611111],map,41.88333333,12.5
1075,April,17,2,70,Hungary,r,Székesfehérvár,duke,s,i,Rome,,433,m,r,,Taken to be in Székesfehérvár.,[47.19555556],[18.40888889],map,41.88333333,12.5
1075,April,17,2,71,Bohemia,r,Prague,duke,s,i,Rome,,375,m,"r, e",,,[50.08333333],[14.41666667],map,41.88333333,12.5
1075,April,17,2,72,Bohemia,r,Prague,people,"c, s",g,Rome,,453,"m, f",ins,,Writing generally to 'all living in Bohemia'. Have located as Prague for mapping purposes. Marked as pastoral letter. ,[50.08333333],[14.41666667],map,41.88333333,12.5
1075,April,20,2,73,Poland,r,Gniezno,duke,s,i,Rome,,900,m,"e, inf, r",,Assumed Gniezno,[52.55],[17.6],map,41.88333333,12.5
